;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
77;77307;77144;"Montévrain";3149;;
77;77308;77230;"Montgé-en-Goële";633;;
77;77309;77122;"Monthyon";1337;;
77;77310;77480;"Montigny-le-Guesdier";285;;
77;77311;77520;"Montigny-Lencoup";1225;;
77;77312;77690;"Montigny-sur-Loing";2751;;
77;77313;77940;"Montmachoux";220;;
77;77314;77320;"Montolivet";203;;
77;77315;77450;"Montry";3066;;
77;77316;77250;"Moret-sur-Loing";4402;;
77;77317;77720;"Mormant";4362;;
77;77318;77163;"Mortcerf";1307;;
77;77319;77160;"Mortery";153;;
77;77320;77120;"Mouroux";4201;;
77;77321;77480;"Mousseaux-lès-Bray";617;;
77;77322;77230;"Moussy-le-Neuf";2781;;
77;77323;77230;"Moussy-le-Vieux";1008;;
77;77325;77480;"Mouy-sur-Seine";381;;
77;77326;77176;"Nandy ";6482;;
77;77327;77370;"Nangis";7479;;
77;77328;77760;"Nanteau-sur-Essonne";432;;
77;77329;77710;"Nanteau-sur-Lunain";485;;
77;77330;77100;"Nanteuil-lès-Meaux  ";5009;;
77;77331;77730;"Nanteuil-sur-Marne";458;;
77;77332;77230;"Nantouillet";264;;
77;77333;77140;"Nemours";12898;;
77;77336;77610;"Neufmoutiers-en-Brie";854;;
77;77337;77186;"Noisiel";15502;;
77;77338;77940;"Noisy-Rudignon";460;;
77;77339;77123;"Noisy-sur-École";1823;;
77;77340;77140;"Nonville";558;;
77;77341;77114;"Noyen-sur-Seine";318;;
77;77342;77890;"Obsonville";89;;
77;77343;77440;"Ocquerre";307;;
77;77344;77178;"Oissery";2232;;
77;77345;77750;"Orly-sur-Morin";561;;
77;77348;77167;"Ormesson";238;;
77;77347;77134;"Les Ormes-sur-Voulzie";823;;
77;77349;77280;"Othis";6749;;
77;77350;77330;"Ozoir-la-Ferrière";20200;;
77;77352;77390;"Ozouer-le-Voulgis";1544;;
77;77353;77710;"Paley";411;;
77;77354;77830;"Pamfou";836;;
77;77355;77520;"Paroy";193;;
77;77356;77480;"Passy-sur-Seine";34;;
77;77357;77970;"Pécy";677;;
77;77358;77124;"Penchard  ";799;;
77;77359;77930;"Perthes";1896;;
77;77360;77131;"Pézarches";273;;
77;77361;77580;"Pierre-Levée";354;;
77;77363;77181;"Le Pin";1067;;
77;77364;77165;"Le Plessis-aux-Bois";172;;
77;77365;77540;"Le Plessis-Feu-Aussoux";374;;
77;77366;77165;"Le Plessis-l'Évêque";234;;
77;77367;77440;"Le Plessis-Placy";262;;
77;77368;77160;"Poigny";408;;
77;77369;77470;"Poincy  ";694;;
77;77370;77167;"Poligny";813;;
77;77371;77515;"Pommeuse";2476;;
77;77372;77400;"Pomponne  ";3256;;
77;77373;77340;"Pontault-Combault";34700;;
77;77374;77135;"Pontcarré";1816;;
77;77376;77410;"Précy-sur-Marne";480;;
77;77377;77220;"Presles-en-Brie";2186;;
77;77378;77310;"Pringy";2316;;
77;77379;77160;"Provins";"12 267";;
77;77380;77139;"Puisieux";282;;
77;77381;77720;"Quiers";583;;
77;77382;77860;"Quincy-Voisins";4561;;
77;77383;77370;"Rampillon";607;;
77;77384;77550;"Réau ";705;;
77;77385;77510;"Rebais";2020;;
77;77386;77760;"Recloses";600;;
77;77387;77710;"Remauville";368;;
77;77388;77260;"Reuil-en-Brie";819;;
77;77389;77000;"La Rochette  ";2759;;
77;77390;77680;"Roissy-en-Brie";19693;;
77;77391;77160;"Rouilly";428;;
77;77392;77230;"Rouvres";604;;
77;77393;77540;"Rozay-en-Brie";2613;;
77;77394;77950;"Rubelles  ";1848;;
77;77395;77760;"Rumont";124;;
77;77396;77560;"Rupéreux";74;;
77;77397;77730;"Saâcy-sur-Marne";1717;;
77;77398;77510;"Sablonnières";638;;
77;77399;77710;"Saint-Ange-le-Viel";215;;
77;77400;77515;"Saint-Augustin";1413;;
77;77402;77320;"Saint-Barthélemy";361;;
77;77403;77160;"Saint-Brice";719;;
77;77405;77750;"Saint-Cyr-sur-Morin";1684;;
77;77406;77510;"Saint-Denis-lès-Rebais";780;;
77;77401;77260;"Sainte-Aulde";521;;
77;77404;77650;"Sainte-Colombe";1697;;
77;77407;77310;"Saint-Fargeau-Ponthierry";11224;;
77;77408;77470;"Saint-Fiacre";389;;
77;77409;77130;"Saint-Germain-Laval";2602;;
77;77410;77950;"Saint-Germain-Laxis  ";514;;
77;77411;77169;"Saint-Germain-sous-Doue";382;;
77;77412;77930;"Saint-Germain-sur-École";328;;
77;77413;77860;"Saint-Germain-sur-Morin";3362;;
77;77414;77160;"Saint-Hilliers";403;;
77;77415;77660;"Saint-Jean-les-Deux-Jumeaux";1227;;
77;77416;77370;"Saint-Just-en-Brie";196;;
77;77417;77510;"Saint-Léger";200;;
77;77418;77650;"Saint-Loup-de-Naud";855;;
77;77419;77670;"Saint-Mammès";3084;;
77;77420;77230;"Saint-Mard";3445;;
77;77421;77320;"Saint-Mars-Vieux-Maisons";188;;
77;77423;77320;"Saint-Martin-des-Champs";582;;
77;77424;77320;"Saint-Martin-du-Boschet";187;;
77;77425;77630;"Saint-Martin-en-Bière";754;;
77;77426;77720;"Saint-Méry";366;;
77;77427;77410;"Saint-Mesmes";462;;
77;77428;77720;"Saint-Ouen-en-Brie";704;;
77;77429;77750;"Saint-Ouen-sur-Morin";537;;
77;77430;77178;"Saint-Pathus";4829;;
77;77431;77140;"Saint-Pierre-lès-Nemours";5815;;
77;77432;77320;"Saint-Rémy-la-Vanne";807;;
77;77433;77120;"Saints";1173;;
77;77434;77480;"Saint-Sauveur-lès-Bray";287;;
77;77435;77930;"Saint-Sauveur-sur-École";1048;;
77;77436;77169;"Saint-Siméon";737;;
77;77437;77165;"Saint-Soupplets";2890;;
77;77438;77400;"Saint-Thibault-des-Vignes  ";6506;;
77;77439;77148;"Salins";916;;
77;77440;77260;"Sammeron";956;;
77;77441;77920;"Samois-sur-Seine";2237;;
77;77442;77210;"Samoreau";2268;;
77;77443;77580;"Sancy";306;;
77;77444;77320;"Sancy-lès-Provins";269;;
77;77445;77176;"Savigny-le-Temple ";26935;;
77;77446;77650;"Savins";508;;
77;77447;77240;"Seine-Port  ";1754;;
77;77448;77260;"Sept-Sorts";394;;
77;77449;77700;"Serris  ";2320;;
77;77450;77170;"Servon";2791;;
77;77451;77640;"Signy-Signets";564;;
77;77452;77520;"Sigy";70;;
77;77453;77115;"Sivry-Courtry";982;;
77;77454;77520;"Sognolles-en-Montois";345;;
77;77455;77111;"Soignolles-en-Brie";1967;;
77;77456;77650;"Soisy-Bouy";748;;
77;77457;77111;"Solers";1243;;
77;77458;77460;"Souppes-sur-Loing";5346;;
77;77459;77171;"Sourdun";1232;;
77;77460;77440;"Tancrou";272;;
77;77461;77520;"Thénisy";239;;
77;77462;77230;"Thieux";683;;
77;77463;77810;"Thomery";3203;;
77;77464;77400;"Thorigny-sur-Marne  ";9095;;
77;77465;77940;"Thoury-Férottes";609;;
77;77466;77163;"Tigeaux";366;;
77;77467;77130;"La Tombe";222;;
77;77468;77200;"Torcy";21595;;
77;77469;77131;"Touquin";950;;
77;77470;77220;"Tournan-en-Brie";7545;;
77;77471;77123;"Tousson";378;;
77;77472;77510;"La Trétoire";389;;
77;77473;77710;"Treuzy-Levelay";431;;
77;77474;77450;"Trilbardou  ";517;;
77;77475;77470;"Trilport  ";4602;;
77;77476;77440;"Trocy-en-Multien";225;;
