"CDCOL","CDETAB","TYPE","NOM","LIBTRI","NUMTEL","EMAIL","NORUE","CDBISTER","BISTER","CDRUE","LIBRUE","CMPADR","CDPOST","CANTON","QUART","SQUART","RNE","CDPAT","CDELEM","SECTEUR","NBENFMAX","NBCLAS","NBCLASFUT","COMM","ZEP"
0,1,"E","Ecole Primaire Winston CHURCHILL                            ","CHURCHILL                     ","04.67.42.54.64                          ","                                                  ",424," ","   ",1362,"RUE DU LAVANDIN                         ","                                                  ",34070,8,4,11,"0341415D",304,0,0,243,9,0,"2011 : places au cp                                         ","N"
0,2,"E","Ecole Elémentaire Marie CURIE                               ","CURIE                         ","04.67.42.52.54                          ","                                                  ",6," ","   ",2016,"ALLÉE DES SOPHORAS                      ","                                                  ",34070,6,4,12,"0340486U",379,0,0,270,10,0,"2011  : places ce2 et cm1 - Accueil des ENA                 ","N"
0,3,"E","Ecole Elémentaire GARIBALDI                                 ","GARIBALDI                     ","04.67.42.77.13                          ","                                                  ",2," ","   ",1062,"PLACE DE FONTJUN                        ","                                                  ",34070,6,4,12,"0341376L",385,0,0,189,7,0,"RESTE 1 PLACE CP CE1 CM1 PLUS DE PLACES CM2 CE2   2011-2012 ","N"
0,13,"E","Ecole Elementaire  POTTIER /SIBELIUS                        ","POTTIER                       ","04 67 63 35 68                          ","                                                  ",120," ","   ",1261,"RUE DE LA JALADE                        ","                                                  ",34090,2,1,2,"0340518D",336,0,0,297,11,0,"11 Classes1classe internationale en 2011 reste cp,ce1,cm1cm2","N"
0,8,"E","Ecole Elémentaire VOLTAIRE                                  ","VOLTAIRE                      ","04.67.47.19.65                          ","                                                  ",157," ","   ",1213,"RUE HENRI SELLIER                       ","                                                  ",34070,6,4,14,"0340485T",435,0,0,270,10,0,"Sept 2011 plus de places CE2; CM1;CM2                       ","N"
0,9,"E","Ecole Elémentaire CALMETTE (Docteur)                        ","CALMETTE                      ","04.67.63.47.25                          ","                                                  ",147," ","   ",1833,"RUE DES QUATRE SEIGNEURS                ","                                                  ",34090,2,1,1,"0341642A",279,0,0,243,9,0,"plus de places pour  les  enfants  nes en 2000 ou 2001      ","N"
0,10,"E","Ecole Elémentaire Jules FERRY                               ","FERRY                         ","04.67.54.41.71                          ","                                                  ",88," ","   ",2342,"RUE ANTOINE-LAURENT JUSSIEU             ","                                                  ",34090,3,1,3,"0341557H",426,0,0,216,8,0,"R 2011 : Plus de ce1 plus de CE2    /place  en CP           ","N"
0,11,"E","Ecole Elémentaire Sigmund FREUD                             ","FREUD                         ","04.67.72.42.53                          ","                                                  ",2," ","   ",2068,"RUE DES TOURTERELLES                    ","                                                  ",34090,3,1,3,"0341879H",251,0,0,162,6,0,"plus  de  places en cycle 3  et CE2 .reste des places en CP ","N"
0,13,"E","Ecole Elementaire  POTTIER /SIBELIUS                        ","POTTIER                       ","04 67 63 35 68                          ","                                                  ",120," ","   ",1261,"RUE DE LA JALADE                        ","                                                  ",34090,2,1,2,"0340518D",336,0,0,297,11,0,"11 Classes1classe internationale en 2011 reste cp,ce1,cm1cm2","N"
