CDCOL,CDETAB,TYPE,NOM,LIBTRI,NUMTEL,EMAIL,NORUE,CDBISTER,BISTER,CDRUE,LIBRUE,CMPADR,CDPOST,CANTON,QUART,SQUART,RNE,CDPAT,CDELEM,SECTEUR,NBENFMAX,NBCLAS,NBCLASFUT,COMM,ZEP
0,546,M,Ecole Maternelle Vincent VAN GOGH                           ,VAN GOGH                      ,04.67.75.36.46                          ,                                                  ,242, ,   ,1633,RUE D'OXFORD                            ,                                                  ,34080,9,2,5,0341262M,390,0,56,182,7,0,                                                            ,O
0,547,M,Ecole Maternelle Virginia WOOLF                             ,WOOLF                         ,04.67.75.37.34                          ,                                                  ,255, ,   ,545,RUE DE BARI                             ,                                                  ,34080,9,2,5,0341301E,273,0,56,130,5,0,plus de places 2011                                         ,O
0,548,M,Ecole Maternelle Sarah BERNHARDT                            ,BERNHARDT                     ,04.67.22.39.12                          ,                                                  ,175, ,   ,2938,RUE EDOUARD VILLALONGA                  ,                                                  ,34000,4,6,21,0341952M,1062,3,31,120,4,0,2011 :  120/120 -  plus de places                           ,N
0,549,M,Ecole Maternelle Geneviève DE GAULLE ANTHONIOZ              ,DE GAULLE ANTHONIOZ           ,04.99.92.21.70                          ,                                                  ,10, ,   ,547,CHEMIN DES BARQUES                      ,                                                  ,34000,4,6,22,0342152E,0,0,29,120,4,0,RENTREE 2011 : plus de place                                ,N
0,550,M,Ecole Maternelle Louise MICHEL                              ,MICHEL                        ,04.67.65.73.72                          ,                                                  ,501, ,   ,1777,AVENUE DE LA POMPIGNANE                 ,                                                  ,34000,4,6,19,0340548L,1803,0,32,120,4,0,reste de la place 2011                                      ,N
0,551,M,Ecole Maternelle Sergueï PROKOFIEV                          ,PROKOFIEV                     ,04.67.02.66.35                          ,                                                  ,85, ,   ,463,AVENUE ALPHONSE JUIN                    ,                                                  ,34000,4,6,19,0341446M,353,0,35,130,5,0,                                                            ,N
0,552,M,Ecole Maternelle Jean COCTEAU                               ,COCTEAU                       ,04.67.92.15.80                          ,                                                  ,16, ,   ,541,RUE DE LA BANDIDO                       ,                                                  ,34070,5,5,15,0340551P,416,0,25,182,7,0,plus de places 2011-2012                                    ,O
0,553,M,Ecole Maternelle Paul ELUARD                                ,ELUARD                        ,04.67.64.40.54                          ,                                                  ,219, ,   ,1941,RUE DE SAINT HILAIRE                    ,                                                  ,34070,5,5,16,0341594Y,345,0,26,120,4,0,                                                            ,N
0,554,M,Ecole Maternelle Anne FRANK                                 ,FRANK                         ,04.67.65.47.82                          ,                                                  ,686, ,   ,1784,AVENUE DU PONT TRINQUAT                 ,                                                  ,34070,5,5,16,0340526M,253,0,27,182,7,0,2011 reste 2 gs                                             ,O
0,555,M,Ecole Maternelle Simone SIGNORET                            ,SIGNORET                      ,04.67.64.08.73                          ,                                                  ,1, ,   ,1458,IMPASSE DES MARMOUSETS                  ,                                                  ,34000,5,5,15,0340535X,296,0,24,180,6,0,PLUS DE PLACES POUR SEPT.2011 !! (18/11/2011)               ,N
0,556,M,Ecole Maternelle Marguerite YOURCENAR                       ,YOURCENAR                     ,04.67.57.06.90                          ,                                                  ,71, ,   ,3266,RUE JEAN-JOSEPH LABORDE                 ,                                                  ,34080,10,1,2,0342201H,0,0,5,386,13,0,reste 3 MS 1PS                                              ,N
0,557,M,Ecole Primaire Michel de l'HOSPITAL                         ,HOSPITAL (mater)              ,04 99 64 27 41                          ,                                                  ,380, ,   ,2103,ROUTE DE VAUGUIERES                     ,                                                  ,34000,4,6,22,0342231R,0,0,30,205,7,7,5 places réservés CESDA                                     ,N
0,558,M,Ecole Primaire OLYMPE DE GOUGES                             ,DE GOUGES                     ,Tél : 04 67 99 18 21                    ,                                                  ,1375, ,   ,645,RUE DE BUGAREL                          ,                                                  ,34070,7,4,11,0342248J,     ,  ,0,90,3,0,plus de place en maternelle pour sept 2011                  ,N
0,559,M,Ecole Primaire François MITTERAND (Mater)                   ,MITTERAND                     ,                                        ,                                                  ,1, ,   ,1431,RUE DE MALBOSC                          ,                                                  ,34080,9,1,2,        ,     ,  ,0,90,0,3,                                                            ,N
