code postal,insee,article,ville,ARTICLE,VILLE,libelle,region,nom region,dep,nom dep,longitude,latitude,codex,metaphone
1290,1046,,Biziat,,BIZIAT,BIZIAT,82,RHONE-ALPES,1,Ain,46.216446,4.943642,B230,PST
1150,1047,,Blyes,,BLYES,BLYES,82,RHONE-ALPES,1,Ain,45.846045,5.248732,B420,PLS
1120,1049,La,Boisse,LA,BOISSE,LA BOISSE,82,RHONE-ALPES,1,Ain,45.84141,5.03281,B240,PSL
1190,1050,,Boissey,,BOISSEY,BOISSEY,82,RHONE-ALPES,1,Ain,46.434021,4.96365,B200,PS
1380,1050,,Boissey,,BOISSEY,BOISSEY,82,RHONE-ALPES,1,Ain,46.324921,4.97046,B200,PS
1450,1051,,Bolozon,,BOLOZON,BOLOZON,82,RHONE-ALPES,1,Ain,46.192096,5.473068,B425,PLSN
1330,1052,,Bouligneux,,BOULIGNEUX,BOULIGNEUX,82,RHONE-ALPES,1,Ain,46.02191,4.991543,B425,PLNKS
1000,1053,,Bourg-en-Bresse,,BOURG-EN-BRESSE,BOURG EN BRESSE,82,RHONE-ALPES,1,Ain,46.203289,5.22139,B625,PRKNPRS
1800,1054,,Bourg-Saint-Christophe,,BOURG-SAINT-CHRISTOPHE,BOURG ST CHRISTOPHE,82,RHONE-ALPES,1,Ain,45.890084,5.157391,B625,PRKSNTXRSTF
1640,1056,,Boyeux-Saint-Jérôme,,BOYEUX-SAINT-JEROME,BOYEUX ST JEROME,82,RHONE-ALPES,1,Ain,46.029585,5.4591,B253,PKSSNTJRM
1190,1057,,Boz,,BOZ,BOZ,82,RHONE-ALPES,1,Ain,46.406484,4.914559,B200,PS
1300,1058,,Brégnier-Cordon,,BREGNIER-CORDON,BREGNIER CORDON,82,RHONE-ALPES,1,Ain,45.64806,5.619225,B625,PRNRKRTN
1260,1059,,Brénaz,,BRENAZ,BRENAZ,82,RHONE-ALPES,1,Ain,45.947331,5.722475,B652,PRNS
1110,1060,,Brénod,,BRENOD,BRENOD,82,RHONE-ALPES,1,Ain,46.06089,5.60645,B653,PRNT
1300,1061,,Brens,,BRENS,BRENS,82,RHONE-ALPES,1,Ain,45.719728,5.695663,B652,PRNS
1360,1062,,Bressolles,,BRESSOLLES,BRESSOLLES,82,RHONE-ALPES,1,Ain,45.866555,5.09568,B624,PRSLS
1460,1063,,Brion,,BRION,BRION,82,RHONE-ALPES,1,Ain,46.171478,5.553961,B650,PRN
1470,1064,,Briord,,BRIORD,BRIORD,82,RHONE-ALPES,1,Ain,45.782268,5.459318,B663,PRRT
1310,1065,,Buellas,,BUELLAS,BUELLAS,82,RHONE-ALPES,1,Ain,46.2097,5.132595,B420,PLS
1510,1066,La,Burbanche,LA,BURBANCHE,LA BURBANCHE,82,RHONE-ALPES,1,Ain,45.84573,5.561075,B615,PRPNXL
1430,1067,,Ceignes,,CEIGNES,CEIGNES,82,RHONE-ALPES,1,Ain,46.119522,5.499698,C252,SNS
1450,1068,,Cerdon,,CERDON,CERDON,82,RHONE-ALPES,1,Ain,46.080358,5.465683,C635,SRTN
1240,1069,,Certines,,CERTINES,CERTINES,82,RHONE-ALPES,1,Ain,46.132439,5.264629,C635,SRTNS
1170,1071,,Cessy,,CESSY,CESSY,82,RHONE-ALPES,1,Ain,46.31868,6.071135,C200,SS
1250,1072,,Ceyzériat,,CEYZERIAT,CEYZERIAT,82,RHONE-ALPES,1,Ain,46.17879,5.324406,C263,SSRT
1350,1073,,Ceyzérieu,,CEYZERIEU,CEYZERIEU,82,RHONE-ALPES,1,Ain,45.836378,5.727308,C260,SSR
1320,1074,,Chalamont,,CHALAMONT,CHALAMONT,82,RHONE-ALPES,1,Ain,45.996905,5.17111,C455,XLMNT
1480,1075,,Chaleins,,CHALEINS,CHALEINS,82,RHONE-ALPES,1,Ain,46.030097,4.803852,C452,XLNS
1230,1076,,Chaley,,CHALEY,CHALEY,82,RHONE-ALPES,1,Ain,45.955202,5.531227,C400,XL
1450,1077,,CHALLES,,CHALLES,CHALLES,82,RHONE-ALPES,1,Ain,46.126282,5.4645,C420,XLS
1630,1078,,Challex,,CHALLEX,CHALLEX,82,RHONE-ALPES,1,Ain,46.17921,5.96849,C420,XLKS
1260,1079,,Champagne-en-Valromey,,CHAMPAGNE-EN-VALROMEY,CHAMPAGNE EN VALROMEY,82,RHONE-ALPES,1,Ain,45.90603,5.68151,C512,XMPNNFLRM
1110,1080,,Champdor,,CHAMPDOR,CHAMPDOR,82,RHONE-ALPES,1,Ain,46.016834,5.597021,C513,XMPTR
1410,1081,,Champfromier,,CHAMPFROMIER,CHAMPFROMIER,82,RHONE-ALPES,1,Ain,46.194498,5.816672,C516,XMPFRMR
1420,1082,,Chanay,,CHANAY,CHANAY,82,RHONE-ALPES,1,Ain,46.005586,5.78533,C500,XN
1990,1083,,Chaneins,,CHANEINS,CHANEINS,82,RHONE-ALPES,1,Ain,46.09713,4.851135,C552,XNNS
1400,1084,,Chanoz-Châtenay,,CHANOZ-CHATENAY,CHANOZ CHATENAY,82,RHONE-ALPES,1,Ain,46.184127,5.029097,C523,XNSXTN
1240,1085,La,Chapelle-du-Châtelard,LA,CHAPELLE-DU-CHATELARD,LA CHAPELLE DU CHATELARD,82,RHONE-ALPES,1,Ain,46.06895,5.023971,C143,XPLTXTLRTL
1130,1087,,Charix,,CHARIX,CHARIX,82,RHONE-ALPES,1,Ain,46.184014,5.684055,C620,XRKS
1800,1088,,Charnoz-sur-Ain,,CHARNOZ-SUR-AIN,CHARNOZ SUR AIN,82,RHONE-ALPES,1,Ain,45.869215,5.223999,C652,XRNSSRN
1500,1089,,Château-Gaillard,,CHATEAU-GAILLARD,CHATEAU GAILLARD,82,RHONE-ALPES,1,Ain,45.972897,5.304522,C324,XTKLRT
1320,1090,,Châtenay,,CHATENAY,CHATENAY,82,RHONE-ALPES,1,Ain,46.033594,5.200806,C350,XTN
1200,1091,,Châtillon-en-Michaille,,CHATILLON-EN-MICHAILLE,CHATILLON EN MICHAILLE,82,RHONE-ALPES,1,Ain,46.144124,5.79882,C345,XTLNNMXL
1320,1092,,Châtillon-la-Palud,,CHATILLON-LA-PALUD,CHATILLON LA PALUD,82,RHONE-ALPES,1,Ain,45.974265,5.256005,C345,XTLNLPLT
