RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
RHONE-ALP,LE PONT-DE-BEAUVOISIN,6-319.161,LE DIAMANT,"6, RUE ALEXANDRE DUMAS",,LE PONT DE BEAUVOISIN,38480
RHONE-ALP,PONTCHARRA,6-318.981,JEAN RENOIR,90 AVENUE DE LA GARE,,PONTCHARRA,38530
FRAN-COMTE,PONTARLIER,6-318.711,OLYMPIA,1 RUE GAMBETTA,,PONTARLIER,25300
FRAN-COMTE,POLIGNY,6-317.613,CINE COMTE,19 RUE DU GENERAL DE GAULLE,,POLIGNY,39200
FRAN-COMTE,POLIGNY,6-317.612,CINEMA  THEATRE  EX THEATRE,B.P. 30009,,POLIGNY,39800
RHONE-ALP,PIERRELATTE,6-310.925,LE CINEMA,RUE ANTOINE DE SAINT EXUPERY,,PIERRELATTE,26700
RHONE-ALP,PIERRELATTE,6-310.925,LE CINEMA,RUE ANTOINE DE SAINT EXUPERY,,PIERRELATTE,26700
RHONE-ALP,PIERRE-BENITE,6-310.542,MAISON DU PEUPLE,PLACE JEAN JAURES,,PIERRE BENITE,69310
RHONE-ALP,PIERRE-BENITE,6-310.542,MAISON DU PEUPLE,PLACE JEAN JAURES,,PIERRE BENITE,69310
RHONE-ALP,LA PERRIERE,6-307.801,ETOILE DES NEIGES,STATION DE LA TANIA,"IMMEUBLE ""LE BRITANIA""",LA PERRIERE,73600
RHONE-ALP,PELUSSIN,6-306.243,CINÉPILAT,RUE DES TROIS SAPINS,,PELUSSIN,42410
RHONE-ALP,LE PEAGE-DE-ROUSSILLON,6-305.632,REX,6 AVENUE JULLES FERRY,,PEAGE DE ROUSSILLON,38550
BOURGOGNE,PARAY-LE-MONIAL,6-303.472,EMPIRE,49/51 AV CHARLES DE GAULLE,,PARAY LE MONIAL,71600
RHONE-ALP,PANISSIERES,6-303.122,BEAUSEJOUR,13 BLD J.L. BONNASSIEUX,,PANISSIERES,42360
RHONE-ALP,OYONNAX,6-301.633,ATMOSPHERE,PARC JEANTET,,OYONNAX,1100
RHONE-ALP,OYONNAX,6-301.624,JEAN RENOIR,CENTRE CULTUREL ARAGON,PLACE GEORGES POMPIDOU,OYONNAX,1100
RHONE-ALP,OULLINS,6-300.895,THEATRE DE LA RENAISSANCE,7 RUE ORSEL,,OULLINS,69600
FRAN-COMTE,ORNANS,6-299.281,ELDORADO,7 RUE DU PRESIDENT WILSON,,ORNANS,25290
RHONE-ALP,NYONS,6-295.254,ARLEQUIN,PLACE DE LA LIBERATION,,NYONS,26110
BOURGOGNE,NUITS-SAINT-GEORGES,6-295.122,CINEMA NUITON,RUE THUROT,,NUITS SAINT GEORGES,21700
RHONE-ALP,NOIRETABLE,6-292.201,LE FOYER,6 PLACE DE L EGLISE,,NOIRETABLE,42440
BOURGOGNE,NEVERS,6-289.771,LE MAZARIN,3 BIS RUE DE LA PASSIERE,,NEVERS,58000
RHONE-ALP,NEUVILLE-SUR-SAONE,6-289.344,REX,4 AV DU 11 NOVEMBRE,,NEUVILLE SUR SAONE,69250
RHONE-ALP,NANTUA,6-285.872,CLUB,4 RUE DU DOCTEUR LEVRAT,,NANTUA,1130
RHONE-ALP,LA MURE,6-283.051,LE THEATRE,PLACE DU THEATRE,,LA MURE D ISERE,38350
AUVERGNE,MURAT,6-282.922,L ARVERNE,18 AVENUE HECTOR PESCHAUD,,MURAT,15300
RHONE-ALP,MOUTIERS,6-281.723,REX,AVENUE DES BELLEVILLE,,MOUTIERS,73600
AUVERGNE,MOULINS,6-280.653,LES CINEMAS DE MOULINS,RUE MARCELLIN DESBOUTINS,,MOULINS,3000
AUVERGNE,MOULINS,6-280.623,LES MARINIERS,PLACE GARIBALDI,,MOULINS,3000
AUVERGNE,MOULINS,6-280.621,PALACE,11 AV THEODORE DE BAUVILLE,,MOULINS,3000
RHONE-ALP,LA MOTTE-SERVOLEX,6-279.580,SALLE SAINT JEAN,VILLE DE LA MOTTE SERVOLEX,36 COSTA DE BEAUREGARD,LA MOTTE SERVOLEX,73290
RHONE-ALP,MORZINE,6-279.191,LES PORTES DU SOLEIL,PLACE CENTRALE,,MORZINE,74110
RHONE-ALP,MORZINE,6-279.184,REX,LE BOURG,,MORZINE,74110
RHONE-ALP,MORZINE,6-279.181,LE COLIBRI,LA CRUSAZ,,MORZINE,74110
FRAN-COMTE,MORTEAU,6-278.805,L ATALANTE,PLACE DE L HOTEL DE VILLE,,MORTEAU,25500
FRAN-COMTE,MORTEAU,6-278.802,LE PARIS,LE PARIS,9 BIS GRANDE RUE,MORTEAU,25503
RHONE-ALP,MORNANT,6-278.432,CINEMA JEAN CARMET,BOULEVARD DU PILAT,CENTRE CULTUREL,MORNANT,69440
FRAN-COMTE,MOREZ,6-277.941,CASINO 2,RUE DE L'INDUSTRIE,,MOREZ,39400
RHONE-ALP,MORESTEL,6-277.851,LE DAUPHIN,PLACE ANTOINE CHANOZ,,MORESTEL,38510
RHONE-ALP,MONTVALEZAN,6-277.331,RUITOR,CENTRE COMMERCIAL LES TERRASSES,,LA ROSIERE MONTVALEZAN,73700
RHONE-ALP,MONTRICHER-ALBANNE,6-276.361,FORUM,STATION DES KARELLIS,,MONTRICHER ALBANNE,73870
RHONE-ALP,MONTMELIAN,6-274.543,CHARLIE CHAPLIN,ESPACE FRANCOIS MITTERRAND,PLACE DU CENTENAIRE,MONTMELIAN,73800
AUVERGNE,MONTLUCON,6-274.202,LES BOURBONS,40 AVENUE DE LA REPUBLIQUE,,MONTLUCON,3100
AUVERGNE,MONTLUCON,6-274.201,PALACE,30 BD DE COURTAIS,,MONTLUCON,3100
RHONE-ALP,MONTELIMAR,6-271.071,NEF,17 BD ARISTIDE BRIAND,,MONTELIMAR,26200
RHONE-ALP,MONTELIMAR,6-271.055,SALLE DES TEMPLIERS,IMPASSE DU LION D'OR,,MONTELIMAR,26200
RHONE-ALP,MONTELIMAR,6-271.052,PALACE,16 BD DU PECHER,,MONTELIMAR,26200
AUVERGNE,MONT-DORE,6-270.673,OLYMPIC,RUE LAVIALLE,,LE MONT DORE,63240
BOURGOGNE,MONTCEAU-LES-MINES,6-269.843,LE PLESSIS,13 RUE FERRER,,MONTCEAU LES MINES,71300
RHONE-ALP,MONTBRISON,6-269.632,REX A,9 BD LACHEZE,,MONTBRISON,42600
FRAN-COMTE,MONTBELIARD,6-269.255,COLISEE CONCORDE,8 RUE HENRI MOUHOT,,MONTBELIARD,25200
BOURGOGNE,MONTBARD,6-269.141,LE PHENIX,33 RUE D ABRANTES,,MONTBARD,21500
RHONE-ALP,MONTALIEU-VERCIEU,6-268.342,ESPACE NINON VALLIN,ASS. ANIMON'TALIEU VERCIEU,PLACE DE LA MAIRIE,MONTALIEU VERCIEU,38390
AUVERGNE,MONISTROL-SUR-LOIRE,6-266.962,LA CAPITELLE,BOULEVARD DE MAZEL,,MONISTROL SUR LOIRE,43120
FRAN-COMTE,MOIRANS-EN-MONTAGNE,6-264.442,FRANCOIS TRUFFAUT,12 RUE DE LA POYAT,,SAINT CLAUDE,39200
RHONE-ALP,MODANE,6-264.123,LE GRAND AIR,LE GRAND AIR,BAT LE GRAND AIR,LA NORMA,73500
RHONE-ALP,MEYZIEU,6-261.603,CINE-MEYZIEU,27 RUE LOUIS SAULNIER,,MEYZIEU,69330
RHONE-ALP,MEYTHET,6-261.581,CINEMA LE RABELAIS,21 ROUTE DE FRANGY,,MEYTHET,74000
RHONE-ALP,MEXIMIEUX,6-261.273,CINEMA L HORLOGE,1 PLACE LIEUTENANT GIRAUD,,MEXIMIEUX,1800
FRAN-COMTE,METABIEF,6-260.602,CINEMA LE MONT D OR,16 RUE DU VILLAGE,,METABIEF,25370
RHONE-ALP,MEGEVE,6-255.072,PANORAMIC,90 ROUTE CRET DU MIDI,,MEGEVE,74120
RHONE-ALP,MEGEVE,6-255.071,LE ROCHEBRUNE,71 RUE CHARLES FEIGE,,MEGEVE,74120
AUVERGNE,MAURIAC,6-253.164,LE PRE BOURGES,RUE DU HUIT MAI,,MAURIAC,15200
RHONE-ALP,MARLHES,6-248.080,SALLE DE SPECTACLES,MAIRIE DE MARLHES,5 PLACE MARCELLIN CHAMPAGNAT,MARLHES,42660
BOURGOGNE,MARCIGNY,6-245.913,LE FOYER,ASS.MARCIGNY VIDEO TRANSMISSION,MAIRIE,MARCIGNY,71110
BOURGOGNE,MARCIGNY,6-245.911,VOX,CINEMA VOX,RUE DES ECOLES,MARCIGNY,71110
FRAN-COMTE,MAICHE,6-240.661,SALLE SAINT MICHEL,3 RUE AUBERT,,MAICHE,25120
RHONE-ALP,MACOT-LA-PLAGNE,6-239.413,STUDIO 3000, PLAGNE BELLECOTE,,MACOT LA PLAGNE,73210
RHONE-ALP,MACOT-LA-PLAGNE,6-239.412,LES ECRINS,STATION DE LA PLAGNE,MACOT LA PLAGNE,AIME,73210
BOURGOGNE,MACON,6-239.325,PETITE SALLE,AV CHARLES DE GAULLE,,MACON,71000
BOURGOGNE,MACON,6-239.323,LES CORDELIERS,26 28 RUE LOCHE,,MACON,71000
BOURGOGNE,MACON,6-239.322,MARIVAUX,68 70 PLACE GERARD GENEVES,,MACON,71000
RHONE-ALP,LYON,6-238.886,PATHE VAISE,43 RUE DES DOCKS,,LYON,69009
RHONE-ALP,LYON,6-238.494,SAINT DENIS,77 GRANDE RUE CROIX ROUSSE,,LYON,69004
RHONE-ALP,LYON,6-238.461,UGC CINE CITE,80 QUAI CHARLES DE GAULLE,,LYON,69006
RHONE-ALP,LYON,6-238.421,CINEMA OPERA,6 RUE JOSEPH SERLIN,,LYON,69001
RHONE-ALP,LYON,6-238.351,CNP TERREAUX,40 RUE DU PRESIDENT E HERRIOT,,LYON,69001
RHONE-ALP,LYON,6-238.244,CINEMA BELLECOMBE,61 RUE D INKERMANN,,LYON,69006
RHONE-ALP,LYON,6-238.163,STUDIO LA FOURMI,68 RUE PIERRE CORNEILLE,,LYON,69003
RHONE-ALP,LYON,6-238.141,UGC PART DIEU,CENTRE COMMERC PART DIEU NIVEAU,,LYON,69003
RHONE-ALP,LYON,6-238.032,ASTORIA,31-33 COURS VITTON,,LYON,69006
RHONE-ALP,LYON,6-238.021,CNP BELLECOUR SALLE A,12 RUE DE LA BARRE,,LYON,69002
RHONE-ALP,LYON,6-238.013,CINEDUCHERE,RUE ANDREI SAKHAROV,,LYON,69009
RHONE-ALP,LYON,6-237.962,PATHE CORDELIERS,20 RUE THOMASSIN,,LYON,69002
RHONE-ALP,LYON,6-237.945,LE CINEMA,18 RUE SAINT POLYCARPE,,LYON,69001
RHONE-ALP,LYON,6-237.934,C N P ODEON,6 RUE GROLEE,,LYON,69002
RHONE-ALP,LYON,6-237.933,COMOEDIA,13 AV BERTHELOT,,LYON,69007
RHONE-ALP,LYON,6-237.903,PATHE,79 RUE DE LA REPUBLIQUE,,LYON,69002
BOURGOGNE,LUZY,6-237.821,VOX,ANGLE RUE POSTE & RUE REMPARTS,,LUZY,58170
BOURGOGNE,LOUHANS,6-233.941,EDEN,13 RUE DES DODANES,,LOUHANS,71500
BOURGOGNE,LOUHANS,6-233.941,EDEN,13 RUE DES DODANES,,LOUHANS,71500
RHONE-ALP,LORIOL-SUR-DROME,6-233.062,ESPACE(S),12 AVENUE DE LA RÉPUBLIQUE,PARC GAILLARD,LORIOL SUR DROME,26270
RHONE-ALP,LORETTE,6-232.872,L'ECLUSE,MAIRIE DE LORETTE,29 ROUTE DE FARNAY,LORETTE,42420
FRAN-COMTE,LONS-LE-SAUNIER,6-232.574,CINEMA RENOIR,CINEMA RENOIR MJC,RUE MOUILLIERES,LONS LE SAUNIER,39000
FRAN-COMTE,LONS-LE-SAUNIER,6-232.572,LE PALACE,9 RUE PASTEUR,,LONS LE SAUNIER,39000
FRAN-COMTE,LONS-LE-SAUNIER,6-232.571,LE REGENT,PLACE DE LA CHEVALERIE,,LONS LE SAUNIER,39000
AUVERGNE,LAROQUEBROU,6-217.990,SALLE POLYVALENTE,COMMUNE LAROQUEBROU,RUE DE LA TREMOLIERE,LA ROQUEBROU,15150
RHONE-ALP,LANSLEVILLARD,6-216.471,CHANTELOUVE,SALLE COMMUNALE,,LANSLEBOURG MONT CENIS,73480
RHONE-ALP,LANSLEBOURG-MONT-CENIS,6-216.451,LA RAMASSE,9 RUE DES JARDINS,,LANSLEBOURG MONT CENIS,73480
RHONE-ALP,LANS-EN-VERCORS,6-216.372,SALLE LA RECRE,ECOLE PRIMAIRE DU VILLAGE,,LANS EN VERCORS,38250
RHONE-ALP,LANS-EN-VERCORS,6-216.371,LE SAINT DONAT,PLACE DE L EGLISE,,LANS EN VERCORS,38250
RHONE-ALP,LANDRY,6-215.091,L ETERLOU,MAISON DE VALLANDRY,VALLANDRY,LANDRY,73210
FRAN-COMTE,LAMOURA,6-214.001,VILLAGE DE VACANCES,VILLAGE DE VACANCES,LAMOURA,SEPTMONCEL,39310
RHONE-ALP,LALOUVESC,6-213.122,LE FOYER,RUE DES CEVENNES,,LALOUVESC,7520
BOURGOGNE,LAIGNES,6-212.450,VOX,5 GRANDE RUE MAISON DIEU,,LAIGNES,21330
RHONE-ALP,JOYEUSE,6-205.682,CENTRE ANIMATION CULTURELLE,PLACE DE LA GRAND FONT,,JOYEUSE,7260
FRAN-COMTE,JOUGNE,6-205.261,SALLE DES FETES - JOUGNE,PLACE DU MONT D'OR,,JOUGNE,25370
RHONE-ALP,JACOB-BELLECOMBETTE,6-202.891,ESPACE CULTUREL,RUE JEAN BAPTISTE RICHARD,,CHAMBERY,73000
BOURGOGNE,ISSY-L EVEQUE,6-202.200,SALLE DE MONTIFAUT,MAIRIE,GILBERT VACHET,ISSY L'EVEQUE,71760
AUVERGNE,ISSOIRE,6-202.085,MODERN,PLACE DU POSTILLON,,ISSOIRE,63500
RHONE-ALP,HUEZ,6-199.153,PALAIS,PALAIS DES SPORTS ET DES CONGRES,AVENUE DE BRANDES,L'ALPE D'HUEZ,38750
RHONE-ALP,HUEZ,6-199.152,LE SIGNAL,L ALPE D HUEZ,,L ALPE D HUEZ,38750
RHONE-ALP,HAUTEVILLE LOMPNES,6-192.631,NOVELTY,RUE DE LA REPUBLIQUE,,HAUTEVILLE LOMPNES,1110
RHONE-ALP,HAUTELUCE,6-192.421,LE REFUGE,STATION DES SAISIES,,HAUTELUCE,73620
RHONE-ALP,GUILHERAND GRANGES,6-188.251,SALLE MUNICIPALE,222 AV GEORGES CLEMENCEAU,,GRANGES LES VALENCE,7500
BOURGOGNE,GUEUGNON,6-187.852,LE DANTON,10 RUE DANTON,,GUEUGNON,71130
RHONE-ALP,GROSPIERRES,6-186.431,CINEMA LE ROURET,DOMAINE DU ROURET,LE ROURET,GROSPIERRES,7120
RHONE-ALP,GRESSE-EN-VERCORS,6-185.241,LE SCIALET,ZONE TOURISTIQUE,,MONESTIER DE CLERMONT,38650
RHONE-ALP,GRENOBLE,6-185.116,PATHE CHAVANT,21 BOULEVARD MARECHAL LYAUTEY,,GRENOBLE,38000
RHONE-ALP,GRENOBLE,6-185.096,SALLE JULIET BERTO,PASSAGE DU PALAIS DE JUSTICE,,GRENOBLE,38000
RHONE-ALP,GRENOBLE,6-185.081,VOX,15 RUE THIERS,,GRENOBLE,38000
RHONE-ALP,GRENOBLE,6-185.044, NEF,18 BD EDOUARD REY,,GRENOBLE,38000
RHONE-ALP,GRENOBLE,6-185.023,CLUB,9 BIS RUE DU PHALANSTERE,,GRENOBLE,38000
RHONE-ALP,GRENOBLE,6-185.015,MELIES,3 RUE DE STRASBOURG,,GRENOBLE,38000
RHONE-ALP,GRENOBLE,6-185.002,REX,13 RUE ST JACQUES,,GRENOBLE,38000
RHONE-ALP,LE GRAND-BORNAND,6-182.462,LE CHARMIEUX,ESPACE OFFICE DU TOURISME,LE CHINAILLON,LE GRAND BORNAND,74450
RHONE-ALP,LE GRAND-BORNAND,6-182.461,LES RHODOS,ESPACE GRAND BORNAND,,GRAND BORNAND,74450
RHONE-ALP,GIERES,6-177.140,LE LAUSSY,PARC MICHAL,,GIERES,38610
RHONE-ALP,GEX,6-176.873,CINEMA LE PATIO,CINEMA LE PATIO,AVENUE DE LA GARE,GEX,1170
RHONE-ALP,LES GETS,6-176.722,LE CLUB,ROUTE TANINGES,,LES GETS,74260
BOURGOGNE,GENLIS,6-175.404,ODEON,ESPACE CULTUREL PAUL ORSSAUD,3 RUE JEAN JAURES,GENLIS,21110
AUVERGNE,GANNAT,6-172.682,LE CHARDON,CSC ALLEES DES TILLEULS,,GANNAT,3800
RHONE-ALP,FRANCHEVILLE,6-168.071,CINE FRANCHEVILLE,MONTEE DES ROCHES,,FRANCHEVILLE,69340
RHONE-ALP,FOURNEAUX,6-167.151,L EMBELLIE,ESPACE CULTUREL L'EMBELLIE,46 AVENUE LA LIBERTE,FOURNEAUX,73500
RHONE-ALP,FONTCOUVERTE-LA TOUSSUIRE,6-163.811,L IGLOO,CENTRE D ACCUEIL,LA TOUSSUIRE-CNE DE FONTCOUVERTE,SAINT JEAN DE MAURIENNE,73300
FRAN-COMTE,FONCINE-LE-HAUT,6-162.501,SALLE DES FETES (EX CENTRAL CINEMA),FONCINE LE HAUT,,FONCINE LE HAUT,39460
RHONE-ALP,FIRMINY,6-159.923,MAJESTIC,"1, PLACE VOLTAIRE",,FIRMINY,42700
RHONE-ALP,FIRMINY,6-159.923,MAJESTIC,"1, PLACE VOLTAIRE",,FIRMINY,42700
RHONE-ALP,FEURS,6-159.361,CINE FEURS,28 RUE DE LA REPUBLIQUE,,FEURS,42110
RHONE-ALP,FERNEY VOLTAIRE,6-157.971,VOLTAIRE,LA POTERIE,,FERNEY VOLTAIRE,1210
RHONE-ALP,FERNEY VOLTAIRE,6-157.971,VOLTAIRE,LA POTERIE,,FERNEY VOLTAIRE,1210
RHONE-ALP,EVIAN-LES-BAINS,6-154.251,ROYAL,12 RUE BERNARD MOUTARDIER,,EVIAN LES BAINS,74500
RHONE-ALP,ENTRE-DEUX-GUIERS,6-147.521,LE MONTCELET,AVENUE DU MONTCELET,BP 10,ENTRE DEUX GUIERS,38380
RHONE-ALP,ECULLY,6-145.792,ECULLY CINEMA,"21, AV EDOUARD AYNARD",MAISON DE LA RENCONTRE,ECULLY,69130
FRAN-COMTE,ECOLE-VALENTIN,6-145.241,MEGARAMA,1 RUE DES SOURCES,,ECOLE VALENTIN,25480
RHONE-ALP,ECHIROLLES,6-144.981,PATHE,4 RUE ALBERT LONDRES,,ECHIROLLES,38130
AUVERGNE,DUNIERES,6-143.691,LE MAUBOURG,13 PLACE DE L HOTEL DE VILLE,,DUNIERES,43220
RHONE-ALP,DOUVAINE,6-142.311,L ESPACE,ESPACE ASS. CULTUREL DOUVAINE,,DOUVAINE,74140
AUVERGNE,DOMPIERRE SUR BESBRE,6-140.713,RENE FALLET,ROUTE DE VICHY,,DOMPIERRE SUR BESBRE,3290
FRAN-COMTE,DOLE,6-139.552,STUDIO M J C,21 PLACE BARBEROUSSE,,DOLE,39100
FRAN-COMTE,DOLE,6-139.541,TANNEUR,12 RUE DU 21 JANVIER,,DOLE,39100
RHONE-ALP,DIVONNE LES BAINS,6-139.282,CINEMA THEATRE DU CASINO,AVENUE DES THERMES,,DIVONNE LES BAINS,1220
BOURGOGNE,DIJON,6-138.751,DEVOSGE,4/6/8 RUE DEVOSGE,,DIJON,21000
BOURGOGNE,DIJON,6-138.741,ELDORADO,21 RUE ALFRED DE MUSSET,,DIJON,21000
BOURGOGNE,DIJON,6-138.715,DARCY,"8, PLACE DARCY",,DIJON,21000
BOURGOGNE,DIJON,6-138.713,A B C,7 RUE DU CHAPEAU ROUGE,,DIJON,21000
BOURGOGNE,DIJON,6-138.712,OLYMPIA,16 AV DU MARECHAL FOCH,,DIJON,21000
BOURGOGNE,DIGOIN,6-138.641,MAJESTIC,24 RUE NATIONALE,,DIGOIN,71160
RHONE-ALP,DIEULEFIT,6-138.462,CINE LABOR,RUE JUSTIN JOUVE,,DIEULEFIT,26220
RHONE-ALP,DIE,6-138.172,LE PESTEL,AV DE LA DIVISION DU TEXAS,,DIE,26150
FRAN-COMTE,DELLE,6-136.912,HALLE DES CINQ FONTAINES,PLACE DU CHAMPS DE FOIRE,,DELLE,90100
BOURGOGNE,DECIZE,6-136.773,CINEAL,6 RUE DU PORT,,DECIZE,58000
RHONE-ALP,DECINES-CHARPIEU,6-136.753,LE TOBOGGAN,14 AV JEAN MACE,,DECINES CHARPIEU,69150
RHONE-ALP,DARDILLY,6-136.201,AQUEDUC,CHEMIN DE LA LIASSE,,DARDILLY,69570
RHONE-ALP,CUBLIZE,6-130.920,MAISON DE L'EUROPE,ASS. OFFICE DU TOURISME,LAC DES SAPINS,CUBLIZE,69550
RHONE-ALP,CRUAS,6-130.653,LE CINE,GROUPE MAURICE THOREZ,,CRUAS,7350
BOURGOGNE,LE CREUSOT,6-128.605,LE MORVAN,6 ET 8 RUE DE LA VERRERIE,,LE CREUSOT,71200
RHONE-ALP,CREST,6-128.421,THEATRE EDEN,QUAI  BERENGIER DE LA BLACHE,,CREST,26400
RHONE-ALP,CREST,6-128.421,THEATRE EDEN,QUAI  BERENGIER DE LA BLACHE,,CREST,26400
RHONE-ALP,CRAPONNE,6-127.232,ESPACE CULTUREL EOLE,"16, RUE CENTRALE",,CRAPONNE,69290
RHONE-ALP,CRAN-GEVRIER,6-127.103,LA TURBINE, PLACE CHORUS,,CRAN GEVRIER,74960
AUVERGNE,COURPIERE,6-125.291,REX,PLACE VERCINGETORIX,,COURPIERE,63120
AUVERGNE,COURNON-D AUVERGNE,6-125.201,GERGOVIE,AVENUE DES DOMES,,COURNON D AUVERGNE,63800
RHONE-ALP,LA COTE-SAINT-ANDRE,6-122.193,LE CLUB,14 RUE TOURTAIN,,LA COTE SAINT ANDRE,38260
BOURGOGNE,COSNE-COURS-SUR-LOIRE,6-121.951,EDEN CINEMA,2 RUE SAINT AGNAN,,COSNE COURS SUR LOIRE,58200
RHONE-ALP,CLUSES,6-115.565,CINETOILES,14 PLACE DES ALLOBROGES,,CLUSES,74300
RHONE-ALP,CLUSES,6-115.562,STUDIO 1600,FLAINE-FORUM,,CLUSES,74300
RHONE-ALP,LA CLUSAZ,6-115.521,DANAY,71 ROUTE DE L' ETALE,,LA CLUSAZ,74220
BOURGOGNE,CLUNY,6-115.511,LES ARTS,PLACE DU MARCHE,,CLUNY,71250
AUVERGNE,CLERMONT-FERRAND,6-114.717,LES AMBIANCES,7 RUE SAINT DOMINIQUE,,CLERMONT FERRAND,63000
AUVERGNE,CLERMONT-FERRAND,6-114.701, JAUDE,CENTRE COMMERCIAL FOND DE JAUDE,,CLERMONT FERRAND,63000
AUVERGNE,CLERMONT-FERRAND,6-114.664,LE RIO,178 RUE SOUS LES VIGNES,,CLERMONT FERRAND,63000
AUVERGNE,CLERMONT-FERRAND,6-114.621, CAPITOLE,32 PLACE DE JAUDE,,CLERMONT FERRAND,63000
RHONE-ALP,CLELLES,6-114.211,SALLE JEAN GIONO,LE BOURG,,CLELLES,38930
BOURGOGNE,LA CLAYETTE,6-114.062,L'ODYSEE (EX CINEMA LE FOYER),RUE FAISANT,,LA CLAYETTE,71800
BOURGOGNE,CLAMECY,6-113.611,CASINO,41 ROUTE DE PRESSURES,,CLAMECY,58500
RHONE-ALP,CHEYLARD,6-111.072,SALLE JEANNE D ARC CIN FOYER,5 RUE DU TEMPLE,,LE CHEYLARD,7160
RHONE-ALP,CHEYLARD,6-111.071,VOX,AV DE JAGORNAC,,LE CHEYLARD,7160
BOURGOGNE,CHAUFFAILLES,6-106.674,ESPACE CULTUREL DU BRIONNAIS,COMMUNE DE CHAUFFAILLES,PLACE DE L'HOTEL DE VILLE BP 33,CHAUFFAILLES,71170
BOURGOGNE,CHAUFFAILLES,6-106.673,CINE ACTION PALACE,50 RUE CENTRALE,,CHAUFFAILLES,71170
AUVERGNE,CHAUDES-AIGUES,6-106.582,LA SOURCE,RUE ST JULIEN,,CHAUDES AIGUES,15110
BOURGOGNE,CHATILLON-SUR-SEINE,6-106.181,SELECT,46 RUE DE LATTRE DE TASSIGNY,,CHATILLON SUR SEINE,21400
RHONE-ALP,CHATILLON SUR CHALARONNE,6-106.072,CINEMA DE CHATILLON SUR CHALARONNE,RUE A BAUDIN,,CHATILLON SUR CHALARONNE,1400
RHONE-ALP,CHATEL,6-105.092,LE CHAMOIS,SALLE DES FETES,,CHATEL,74390
RHONE-ALP,CHATEL,6-105.091,MORCLAN 2OOO,MORCLAN 2000,,CHATEL,74390
BOURGOGNE,CHATEAU-CHINON(VILLE),6-104.091,ETOILE CINEMA,19 RUE DES FOSSES,,CHATEAU CHINON VILLE,58120
BOURGOGNE,CHAROLLES,6-102.853,LE TIVOLI,9 RUE DE LA CHAMPAGNY,,CHAROLLES,71120
FRAN-COMTE,CHARMOILLE,6-102.531,CINÉMA DE CHARMOILLE,1 RUE DU CONOT,,CHARMOILLE,25380
RHONE-ALP,CHARLIEU,6-102.284,LES HALLES,PLACE ST PHILIBERT,,CHARLIEU,42190
BOURGOGNE,LA CHARITE-SUR-LOIRE,6-102.173,CRYSTAL PALACE,14 RUE DE BOURGOGNE,,LA CHARITE SUR LOIRE,58400
RHONE-ALP,CHARBONNIERES-LES-BAINS,6-101.692,ALPHA,24 AVENUE LAMARTINE,,CHARBONNIERES LES BAINS,69260
RHONE-ALP,CHAMPAGNY-EN-VANOISE,6-096.641,RHODO,,,BOZEL,73350
FRAN-COMTE,CHAMPAGNOLE,6-096.611,REPUBLIQUE,4 AV EDOUARD HERRIOT,,CHAMPAGNOLE,39300
RHONE-ALP,CHAMONIX-MONT-BLANC,6-096.184,VOX,22 COURS DU BARTAVEL,BP 108,CHAMONIX MONT BLANC,74400
AUVERGNE,LE CHAMBON-SUR-LIGNON,6-095.732,CINEMASCOOP,18 RUE DE LA POSTE,,LE CHAMBON SUR LIGNON,43400
RHONE-ALP,CHAMBERY,6-095.453,PATHE CHAMNORD,1253 AVENUE DES LANDIERS,,CHAMBERY,73000
RHONE-ALP,CHAMBERY,6-095.451,FORUM CINEMA,28 PLACE DU FORUM,,CHAMBERY,73000
RHONE-ALP,CHAMBERY,6-095.413,ASTREE,7 BOULEVARD DU THEATRE,,CHAMBERY,73000
RHONE-ALP,CHAMBERY,6-095.405,CURIAL CINEMA,67 PLACE FRANCOIS MITTERRAND,ESPACE MALRAUX,CHAMBERY,73000
BOURGOGNE,CHALON-SUR-SAONE,6-095.052,ESPACE DES ARTS,5 BIS AV NICEPHORE NIEPCE,,CHALON SUR SAONE,71100
BOURGOGNE,CHALON-SUR-SAONE,6-095.045,VOX,41 RUE FRUCTIDOR,,CHALON SUR SAONE,71100
BOURGOGNE,CHALON-SUR-SAONE,6-095.044,AXEL,69 RUE GLORIETTE,,CHALON SUR SAONE,71100
BOURGOGNE,CHALON-SUR-SAONE,6-095.041,NEF,5 RUE FRUCTIDOR,,CHALON SUR SAONE,71100
RHONE-ALP,CHALLES-LES-EAUX,6-094.802,LE CHALL ENGER,PLACE LOUIS DUMOLLARD,,CHALLES LES EAUX,73190
RHONE-ALP,CERTINES,6-092.890,SALLE POLYVALENTE,REGIE DE RECETTES,MAIRIE,CERTINES,1240
RHONE-ALP,CALUIRE-ET-CUIRE,6-082.604,CINE CALUIRE,36 AV DU GENERAL DE GAULLE,,CALUIRE ET CUIRE,69300
RHONE-ALP,CALUIRE-ET-CUIRE,6-082.603,SALLE MELIES,67 CHEMIN DE VASSIEUX,,CALUIRE ET CUIRE,69300
RHONE-ALP,CALUIRE-ET-CUIRE,6-082.603,SALLE MELIES,67 CHEMIN DE VASSIEUX,,CALUIRE ET CUIRE,69300
