RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
LORRAINE,BAR-LE-DUC,9-039.474,COLISEE,15 RUE NOTRE-DAME,,BAR LE DUC,55000
LORRAINE,BAINS-LES-BAINS,9-036.672,CASINO,PLACE DE L HOTEL DE VILLE,,BAINS LES BAINS,88240
LORRAINE,BACCARAT,9-035.272,LE CONCORDE,10 RUE DE L ABBE MUNIER,,BACCARAT,54120
ALSACE,COLMAR,8-720.850,MEGA CGR,1 PLACE SCHEURER KESTNER,,COLMAR,68021
ALSACE,STRASBOURG,8-719.354,VIDEONE,"1, RUE D'OBERNAI",,STRASBOURG,67000
ALSACE,WITTENHEIM,8-468.533,GERARD PHILIPE,10 B RUE DE LA 1ERE ARMEE,,WITTENHEIM,68270
LORRAINE,LE VAL-DE-GUEBLANGE,8-439.651,CINEVAL,RUE PRINCIPALE,,SARRALBE,57430
LORRAINE,THIONVILLE,8-426.301,KINEPOLIS,50 ROUTE D'ARLON,,THIONVILLE,57100
LORRAINE,THIONVILLE,8-426.273,SCALA,"23, PLACE DU MARCHE",,THIONVILLE,57100
ALSACE,THANN,8-424.465,RELAIS CULTUREL REGIONAL,51 RUE KLEBER,,THANN,68800
ALSACE,SAINT-LOUIS,8-398.731,LA COUPOLE,"4, CROISÉE DES LYS",,SAINT LOUIS,68300
LORRAINE,SAINT-JULIEN-LES-METZ,8-395.671,KINEPOLIS,10 AV PAUL LANGEVIN,,SAINT JULIEN LES METZ,57070
LORRAINE,SAINT-AVOLD,8-375.325,FRANCOIS TRUFFAUT,1 RUE DE LA CHAPELLE,,SAINT-AVOLD,57500
ALSACE,STRASBOURG,8-369.792,UGC CINE CITE,25 ROUTE DU RHIN,,STRASBOURG,67000
ALSACE,STRASBOURG,8-369.781,STAR SAINT EXUPERY 1 (EX-ETOILE PLUS),18 RUE DU 22 NOVEMBRE,,STRASBOURG,67000
ALSACE,STRASBOURG,8-368.801,LE STAR,27/31 RUE DU JEU DES ENFANTS,,STRASBOURG,67000
ALSACE,STRASBOURG,8-368.764,VOX  (EX-PATHE VOX 1),17 RUE DES FRANCS BOURGEOIS,,STRASBOURG,67000
ALSACE,STRASBOURG,8-368.723,ODYSSEE,"3, RUE DES FRANCS BOURGEOIS",L'ODYSSEE,STRASBOURG,67000
LORRAINE,SEREMANGE-ERZANGE,8-360.572,GRAND ECRAN,PLACE ADRIEN PRINTZ,,SEREMANGE,57290
ALSACE,SELESTAT,8-358.333,SELECT,48 RUE DU PRESIDENT POINCARE,,SELESTAT,67600
ALSACE,SAVERNE,8-356.024,LE CUBIC,"133, GRAND'RUE",,SAVERNE,67700
ALSACE,SAVERNE,8-356.023,LORRAIN 4,ESPACE ROHAN-PLACE DE GAULLE,,SAVERNE,67700
LORRAINE,SARREGUEMINES,8-353.201,FORUM,1 RUE DU MAIRE MASSING,,SARREGUEMINES,57200
LORRAINE,SARREBOURG,8-353.161,LORRAIN,37  AV POINCARE,,SARREBOURG,57400
ALSACE,RIXHEIM,8-338.902,CINE RELAIS - LA PASSERELLE (EX- CENTRE INTEGRE),RUE DES LOISIRS,,RIXHEIM,68170
ALSACE,RIBEAUVILLE,8-336.732,REX,"17, RUE DE LA SYNAGOGUE",,RIBEAUVILLE,68150
ALSACE,REICHSHOFFEN,8-333.683,LA CASTINE,12 RUE DU GENERAL KOENIG,,REICHSHOFFEN,67110
LORRAINE,PUTTELANGE-AUX-LACS,8-327.992,CINESPACE,RUE JEAN MOULIN,,PUTTELANGE AUX LACS,57510
LORRAINE,PHALSBOURG,8-310.106,LE CLUB,LOBAU,,PHALSBOURG,57370
ALSACE,ORBEY,8-297.962,LE CERCLE,23 RUE CHARLES DE GAULLE,,ORBEY,68370
ALSACE,OBERNAI,8-295.493,SALLE ADALRIC,RUE ATHIC,,OBERNAI,67210
ALSACE,NIEDERBRONN-LES-BAINS,8-290.471,CINEMA DU CASINO,1O PLACE DES THERMES,,NIEDERBRONN LES BAINS,67110
ALSACE,MUTZIG,8-283.523,CINEMA LE ROHAN,"39, RUE DU CHATEAU",,MUTZIG,67190
ALSACE,MUNSTER,8-282.842,L'ESPACE CULTUREL SAINT GREGOIRE (EX- LE SAINT GREGOIRE),1 PLACE DES TUILERIES,,MUNSTER,68140
ALSACE,MULHOUSE,8-282.651,LE PALACE,BOULEVARD DE COLMAR,,MULHOUSE,68100
ALSACE,MULHOUSE,8-282.631,KINEPOLIS,ZAC DU NOUVEAU BASSIN,175 AVENUE ROBERT SCHUMAN,MULHOUSE,68100
ALSACE,MULHOUSE,8-282.604,SALLE JEAN BESSE (EX-LA FILATURE),20 ALLEE NATHAN KATZ,,MULHOUSE,68100
ALSACE,MULHOUSE,8-282.583,STUDIO BEL AIR,31 RUE FENELON,,MULHOUSE,68200
LORRAINE,METZ,8-260.731,PALACE (EX-GAUMONT PALACE),5/7 RUE FABERT,,METZ,57000
LORRAINE,METZ,8-260.701,CAMEO ARIEL,"24, RUE DU PALAIS",,METZ,57000
LORRAINE,METZ,8-260.683,ROYAL,2 RUE GAMBETTA,,METZ,57000
LORRAINE,MARLY,8-248.151,MARLY-MAGES (EX-MARLY SCOPE),"1, RUE DE METZ",,MARLY,57155
LORRAINE,HAYANGE,8-193.462,PALACE I,57 RUE DU MARECHAL FOCH,,HAYANGE,57700
ALSACE,HAGUENAU,8-189.741,MEGAREX,5 RUE GEORGES MELIES,,HAGUENAU,67500
