34725,34287,,Saint-Saturnin-de-Lucian,,SAINT-SATURNIN-DE-LUCIAN,ST SATURNIN DE LUCIAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6949578,3.4705445,S532,SNTSTRNNTLSN
34400,34288,,Saint-Sériès,,SAINT-SERIES,ST SERIES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7315577,4.1056187,S532,SNTSRS
34630,34289,,Saint-Thibéry,,SAINT-THIBERY,ST THIBERY,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.3898738,3.4044187,S531,SNT0PR
34730,34290,,Saint-Vincent-de-Barbeyrargues,,SAINT-VINCENT-DE-BARBEYRARGUES,ST VINCENT DE BARBEYRARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7058625,3.877036,S531,SNTFNSNTTPRPRRKS
34390,34291,,Saint-Vincent-d'Olargues,,SAINT-VINCENT-D'OLARGUES,ST VINCENT D OLARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.560592,2.87935,S531,SNTFNSNTTLRKS
34800,34292,,Salasc,,SALASC,SALASC,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6198515,3.3161428,S420,SLSK
34330,34293,La,Salvetat-sur-Agout,LA,SALVETAT-SUR-AGOUT,LA SALVETAT SUR AGOUT,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6010108,2.7044687,S413,SLFTTSRKTL
34400,34294,,Saturargues,,SATURARGUES,SATURARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7224129,4.1139615,S366,STRRKS
34570,34295,,Saussan,,SAUSSAN,SAUSSAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5724624,3.7733685,S250,SSN
34160,34296,,Saussines,,SAUSSINES,SAUSSINES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7636866,4.0564753,S252,SSNS
34270,34297,,Sauteyrargues,,SAUTEYRARGUES,SAUTEYRARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.8392719,3.9189358,S366,STRRKS
34410,34298,,Sauvian,,SAUVIAN,SAUVIAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.2946475,3.2607546,S150,SFN
34410,34299,,Sérignan,,SERIGNAN,SERIGNAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.2816024,3.2830437,S625,SRNN
34290,34300,,Servian,,SERVIAN,SERVIAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.4268096,3.2998419,S615,SRFN
34200,34301,,Sète,,SETE,SETE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.4017031,3.6966051,S300,ST
34210,34302,,Siran,,SIRAN,SIRAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.3123862,2.6605807,S650,SRN
34520,34303,,Sorbs,,SORBS,SORBS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.8940758,3.4004745,S612,SRPS
34700,34304,,Soubès,,SOUBES,SOUBES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7669505,3.3464918,S120,SPS
34330,34305,Le,Soulié,LE,SOULIE,LE SOULIE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5514132,2.6890734,S440,SLL
34700,34306,,Soumont,,SOUMONT,SOUMONT,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7271173,3.3550934,S553,SMNT
34160,34307,,Sussargues,,SUSSARGUES,SUSSARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7136462,4.0024741,S262,SSRKS
34600,34308,,Taussac-la-Billière,,TAUSSAC-LA-BILLIERE,TAUSSAC LA BILLIERE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6262538,3.0612144,T224,TSKLPLR
34820,34309,,Teyran,,TEYRAN,TEYRAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6827981,3.9244672,T650,TRN
34490,34310,,Thézan-lès-Béziers,,THEZAN-LES-BEZIERS,THEZAN LES BEZIERS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.4215597,3.1705006,T254,0SNLSPSRS
34120,34311,,Tourbes,,TOURBES,TOURBES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.4459701,3.3795456,T612,TRPS
34260,34312,La,Tour-sur-Orb,LA,TOUR-SUR-ORB,LA TOUR SUR ORB,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6557729,3.1496577,T626,TRSRRPL
34230,34313,,Tressan,,TRESSAN,TRESSAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5747128,3.4906307,T625,TRSN
34270,34314,Le,Triadou,LE,TRIADOU,LE TRIADOU,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7400811,3.8517647,T634,TRTL
34230,34315,,Usclas-d'Hérault,,USCLAS-D'HERAULT,USCLAS D HERAULT,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5187338,3.4645631,U242,ASKSTRLT
34700,34316,,Usclas-du-Bosc,,USCLAS-DU-BOSC,USCLAS DU BOSC,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7235428,3.4024188,U242,ASKSTPSK
34520,34317,,LA VACQUERIE SAINT MARTIN CASTRIES,,LA VACQUERIE SAINT MARTIN CASTRIES,LA VACQUERIE ST MARTIN CASTRIES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.8348064,3.4397386,L126,LFKRSNTMRTNKSTRS
34270,34318,,Vacquières,,VACQUIERES,VACQUIERES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.8446358,3.9449532,V262,FKRS
34320,34319,,Vailhan,,VAILHAN,VAILHAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5527689,3.3024624,V450,FLN
34570,34320,,Vailhauquès,,VAILHAUQUES,VAILHAUQUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6723687,3.7179814,V422,FLKS
34130,34321,,Valergues,,VALERGUES,VALERGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6674786,4.0618876,V462,FLRKS
34270,34322,,Valflaunès,,VALFLAUNES,VALFLAUNES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.8004732,3.871705,V414,FLFLNS
34800,34323,,Valmascle,,VALMASCLE,VALMASCLE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5962568,3.2983601,V452,FLMSK
34350,34324,,Valras-Plage,,VALRAS-PLAGE,VALRAS PLAGE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.247067,3.2900324,V462,FLRSPLJ
34290,34325,,Valros,,VALROS,VALROS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.4212099,3.3653713,V462,FLRS
34220,34326,,Vélieux,,VELIEUX,VELIEUX,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.3865826,2.7329496,V420,FLKS
34740,34327,,Vendargues,,VENDARGUES,VENDARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6601313,3.962337,V536,FNTRKS
34230,34328,,Vendémian,,VENDEMIAN,VENDEMIAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5813054,3.5614109,V535,FNTMN
34350,34329,,Vendres,,VENDRES,VENDRES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.2698001,3.2259022,V536,FNTRS
34400,34330,,Vérargues,,VERARGUES,VERARGUES,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7163212,4.0998117,V662,FRRKS
34220,34331,,Verreries-de-Moussans,,VERRERIES-DE-MOUSSANS,VERRERIES DE MOUSSANS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.4476189,2.6866253,V662,FRRSTMSNS
34450,34332,,Vias,,VIAS,VIAS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.3083613,3.3892894,V200,FS
34110,34333,,Vic-la-Gardiole,,VIC-LA-GARDIOLE,VIC LA GARDIOLE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.490539,3.7965583,V242,FKLKRTL
34390,34334,,Vieussan,,VIEUSSAN,VIEUSSAN,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5411609,2.9764905,V250,FSN
34600,34335,,Villemagne-l'Argentière,,VILLEMAGNE-L'ARGENTIERE,VILLEMAGNE L ARGENTIERE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6174265,3.1190389,V452,FLMNLRJNTR
34500,34336,,Villeneuve-lès-Béziers,,VILLENEUVE-LES-BEZIERS,VILLENEUVE LES BEZIERS,91,LANGUEDOC-ROUSSILLON,34,Hérault,,,V451,FLNFLSPSRS
34420,34336,,Villeneuve-lès-Béziers,,VILLENEUVE-LES-BEZIERS,VILLENEUVE LES BEZIERS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.3147333,3.280289,V451,FLNFLSPSRS
34750,34337,,Villeneuve-lès-Maguelone,,VILLENEUVE-LES-MAGUELONE,VILLENEUVE LES MAGUELONE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5247005,3.8553507,V451,FLNFLSMKLN
34800,34338,,Villeneuvette,,VILLENEUVETTE,VILLENEUVETTE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.6102584,3.4012402,V451,FLNFT
34360,34339,,Villespassans,,VILLESPASSANS,VILLESPASSANS,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.3809042,2.916936,V421,FLSPSNS
34400,34340,,Villetelle,,VILLETELLE,VILLETELLE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7335787,4.1394023,V434,FLTL
34560,34341,,Villeveyrac,,VILLEVEYRAC,VILLEVEYRAC,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5004966,3.6076821,V416,FLFRK
34380,34342,,Viols-en-Laval,,VIOLS-EN-LAVAL,VIOLS EN LAVAL,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7519676,3.7303687,V425,FLSNLFL
34380,34343,,Viols-le-Fort,,VIOLS-LE-FORT,VIOLS LE FORT,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.7431226,3.7045924,V424,FLSLFRT
34280,34344,La,Grande-Motte,LA,GRANDE-MOTTE,LA GRANDE MOTTE,91,LANGUEDOC-ROUSSILLON,34,Hérault,43.5595866,4.0848968,G653,KRNTMTL
35690,35001,,Acigné,,ACIGNE,ACIGNE,53,BRETAGNE,35,Ille-et-Vilaine,48.1448027,-1.5201499,A225,ASN
35150,35002,,Amanlis,,AMANLIS,AMANLIS,53,BRETAGNE,35,Ille-et-Vilaine,48.0082529,-1.47608,A554,AMNLS
35250,35003,,Andouillé-Neuville,,ANDOUILLE-NEUVILLE,ANDOUILLE NEUVILLE,53,BRETAGNE,35,Ille-et-Vilaine,48.2952026,-1.5877116,A534,ANTLNFL
35560,35004,,Antrain,,ANTRAIN,ANTRAIN,53,BRETAGNE,35,Ille-et-Vilaine,48.4638655,-1.480176,A536,ANTRN
35130,35005,,Arbrissel,,ARBRISSEL,ARBRISSEL,53,BRETAGNE,35,Ille-et-Vilaine,47.9271847,-1.3038418,A616,ARPRSL
35370,35006,,Argentré-du-Plessis,,ARGENTRE-DU-PLESSIS,ARGENTRE DU PLESSIS,53,BRETAGNE,35,Ille-et-Vilaine,48.056843,-1.1514861,A625,ARJNTRTPLSS
35250,35007,,Aubigné,,AUBIGNE,AUBIGNE,53,BRETAGNE,35,Ille-et-Vilaine,48.2949448,-1.6352682,A125,APN
35130,35008,,Availles-sur-Seiche,,AVAILLES-SUR-SEICHE,AVAILLES SUR SEICHE,53,BRETAGNE,35,Ille-et-Vilaine,47.961667,-1.1956558,A142,AFLSSRSX
35120,35009,,Baguer-Morvan,,BAGUER-MORVAN,BAGUER MORVAN,53,BRETAGNE,35,Ille-et-Vilaine,48.5243911,-1.7755995,B265,PKRMRFN
35120,35010,,Baguer-Pican,,BAGUER-PICAN,BAGUER PICAN,53,BRETAGNE,35,Ille-et-Vilaine,48.5517975,-1.6981014,B261,PKRPKN
35460,35011,,Baillé,,BAILLE,BAILLE,53,BRETAGNE,35,Ille-et-Vilaine,48.3601499,-1.3787503,B400,PL
35470,35012,,Bain-de-Bretagne,,BAIN-DE-BRETAGNE,BAIN DE BRETAGNE,53,BRETAGNE,35,Ille-et-Vilaine,47.8410922,-1.6810752,B531,PNTPRTN
35600,35013,,Bains-sur-Oust,,BAINS-SUR-OUST,BAINS SUR OUST,53,BRETAGNE,35,Ille-et-Vilaine,47.7049761,-2.0707604,B526,PNSSRST
35680,35014,,Bais,,BAIS,BAIS,53,BRETAGNE,35,Ille-et-Vilaine,48.0094835,-1.2898171,B200,PS
35500,35015,,Balazé,,BALAZE,BALAZE,53,BRETAGNE,35,Ille-et-Vilaine,48.1668913,-1.1877145,B420,PLS
35580,35016,,Baulon,,BAULON,BAULON,53,BRETAGNE,35,Ille-et-Vilaine,47.9850038,-1.932688,B450,PLN
