ID,id_client,Selection,osm_id,osm_type,poi_name,geo_lat,geo_lng,tbl_cat_poi,cat_name,address_1,postcode,town,ANN_NOM,CATEGORIE_LIBELLE,QUARTIER_LIBELLE,ANN_TELEPHONE,ANN_FAX,ANN_COURRIEL,ANN_SITEINTERNET,ANN_STATIONNEMENT,ANN_POINTADRESSE,ANN_GPS,ANN_ADDR_NUMERO,ANN_ADDR_SUFFIXE,ANN_ADDR_VOIETYPE,ANN_ADDR_NOMVOIE,ANN_ADDR_COMPLEMENTAIRE,ANN_ADDR_CODEPOSTAL,ANN_ADDR_VILLE,ANN_ADDR_CEDEX,ANN_AME_ACCESSIBILITEGENERALE,ANN_AME_TOILETTE,ANN_AME_ASCENSEUR,ANN_AME_PLACESTATIONNEMENT,ANN_AME_ACCESSIBILITESTATIONNEMENT,ANN_ACCES_PRECISION,ANN_ACCES_TRAM,ANN_ACCES_BUS,ANN_COMMENTAIRE,ANN_ENSAVOIRPLUS
699678,159,,185546655,1,Ecole Élémentaire Jules Verne,43.6170418,3.8841532,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Yehudi Menuhin,34000,MONTPELLIER,Ecole Élémentaire Jules Verne,Ecoles Élémentaires,Montpellier Centre,04 99 62 38 84,,,,,NULL,NULL,127,NULL,rue Yehudi Menuhin,NULL,,34000,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699501,115,,608482967,1,Ecole Élémentaire Louis Armstrong,43.6173464,3.8386472,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Paul Rimbaud,34000,MONTPELLIER,Ecole Élémentaire Louis Armstrong,Ecoles Élémentaires,Les Cévennes,04 67 75 61 77,,,,,NULL,NULL,971,NULL,rue Paul Rimbaud,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699618,416,,608482957,1,Ecole maternelle Geneviève Bon,43.6175173,3.8392051,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Paul Rimbaud,34000,MONTPELLIER,Ecole maternelle Geneviève-Bon,Ecoles maternelles,Les Cévennes,04 67 75 02 34,,,,,NULL,NULL,971,NULL,rue Paul-Rimbaud,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699700,347,,22940828,2,Ecole Élémentaire Jean Moulin,43.6187193503604,3.8914676038121,10410,#EDUCATION#ECOLE#PRIMAIRE,"20, bd Mounié",34000,MONTPELLIER,Ecole Élémentaire Jean Moulin,Ecoles Élémentaires,Montpellier Centre,04 67 72 68 17,,,,,NULL,NULL,20,NULL,boulevard Mounié,NULL,,34000,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699347,122,,601563359,1,Ecole Élémentaire Jean Zay,43.618781,3.8977974,10410,#EDUCATION#ECOLE#PRIMAIRE,Avenue Alphonse Juin,34000,MONTPELLIER,Ecole Élémentaire Jean Zay,Ecoles Élémentaires,Port Marianne,04 67 02 66 36,,,,,NULL,NULL,85,NULL,avenue Alphonse Juin,NULL,,34000,Montpellier,,,,,,,NULL,,,,NULL
699810,382,,22940825,2,Ecole maternelle Ingrid Bergman,43.6188130671671,3.89100567315101,10410,#EDUCATION#ECOLE#PRIMAIRE,"20, bd Mounié",34000,MONTPELLIER,Ecole maternelle Ingrid Bergman,Ecoles maternelles,Montpellier Centre,04 67 72 35 58,,,,,NULL,NULL,20,NULL,boulevard Mounié,NULL,,34000,Montpellier,,,,,,,NULL,,,,NULL
699772,121,,601564168,1,Ecole maternelle Sergueà¯ Prokofiev,43.6188898,3.8983123,10410,#EDUCATION#ECOLE#PRIMAIRE,Avenue Alphonse Juin,34000,MONTPELLIER,Ecole maternelle Sergueà¯-Prokofiev,Ecoles maternelles,Port Marianne,04 67 02 66 35,,,,,NULL,NULL,85,NULL,avenue Alphonse-Juin,NULL,,34000,Montpellier,,,,,,,NULL,,,,NULL
699545,116,,592097188,1,Ecole Élémentaire Julie Daubié,43.6194844,3.8424132,10410,#EDUCATION#ECOLE#PRIMAIRE,Allée de l'Aqueduc,34000,MONTPELLIER,Ecole Élémentaire Julie Daubie,Ecoles Élémentaires,Les Cévennes,04 67 63 01 26,,,,,NULL,NULL,183,NULL,Allée de l'Aqueduc,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699619,417,,592097195,1,Ecole maternelle Madeleine Brès,43.6197873,3.8417265,10410,#EDUCATION#ECOLE#PRIMAIRE,Allée de l'Aqueduc,34000,MONTPELLIER,Ecole maternelle Madeleine-Bres,Ecoles maternelles,Les Cévennes,04 67 63 01 19,,,,,NULL,NULL,183,NULL,Allée de l'Aqueduc,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699566,84,,595229398,1,Ecole Élémentaire Charles Daviler,43.6220975,3.8700552,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue du Colonel Marchand,34000,MONTPELLIER,Ecole Élémentaire Charles Daviler,Ecoles Élémentaires,Montpellier Centre,04 67 63 52 50,,,,,NULL,NULL,5,NULL,rue Colonel Marchand,NULL,,34000,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
