;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
2;34167;34310;"Montels";;;
2;34168;34320;"Montesquieu";;;
2;34169;34980;"Montferrier-sur-Lez";;;
2;34170;34310;"Montouliers";;;
2;34171;34190;"Montoulieu";;;
2;34173;34150;"Montpeyroux";;;
2;34174;34190;"Moulès-et-Baucels";;;
2;34175;34800;"Mourèze";;;
2;34176;34130;"Mudaison";;;
2;34177;34980;"Murles";;;
2;34178;34490;"Murviel-lès-Béziers";;;
2;34179;34570;"Murviel-lès-Montpellier";;;
2;34180;34800;"Nébian";;;
2;34181;34320;"Neffiès";;;
2;34182;34120;"Nézignan-l'Évêque";;;
2;34183;34440;"Nissan-lez-Enserune";;;
2;34184;34320;"Nizas";;;
2;34185;34380;"Notre-Dame-de-Londres";;;
2;34186;34800;"Octon";;;
2;34187;34390;"Olargues";;;
2;34188;34700;"Olmet-et-Villecun";;;
2;34189;34210;"Olonzac";;;
2;34190;34210;"Oupia";;;
2;34191;34490;"Pailhès";;;
2;34192;34250;"Palavas-les-Flots2";;;
2;34193;34360;"Pardailhan";;;
2;34194;34230;"Paulhan";;;
2;34195;34380;"Pégairolles-de-Buèges";;;
2;34196;34700;"Pégairolles-de-l'Escalette";;;
2;34197;34800;"Péret";;;
2;34198;34470;"Pérols";;;
2;34199;34120;"Pézenas";;;
2;34200;34600;"Pézènes-les-Mines";;;
2;34201;34360;"Pierrerue";;;
2;34202;34570;"Pignan";;;
2;34203;34850;"Pinet";;;
2;34204;34230;"Plaissan";;;
2;34205;34700;"Les Plans";;;
2;34206;34310;"Poilhes";;;
2;34207;34810;"Pomérols";;;
2;34208;34230;"Popian";;;
2;34209;34420;"Portiragnes";;;
2;34210;34230;"Le Pouget";;;
2;34211;34600;"Le Poujol-sur-Orb";;;
2;34212;34700;"Poujols";;;
2;34213;34560;"Poussan";;;
2;34214;34480;"Pouzolles";;;
2;34215;34230;"Pouzols";;;
2;34216;34600;"Le Pradal";;;
2;34217;34730;"Prades-le-Lez";;;
2;34218;34360;"Prades-sur-Vernazobre";;;
2;34219;34390;"Prémian";;;
2;34220;34700;"Le Puech";;;
2;34221;34150;"Puéchabon";;;
2;34222;34230;"Puilacher";;;
2;34223;34480;"Puimisson";;;
2;34224;34480;"Puissalicon";;;
2;34225;34620;"Puisserguier";;;
2;34226;34310;"Quarante";;;
