;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
78;78236;78910;"Flexanville";571;889;65
78;78237;78790;"Flins-Neuve-Église";163;123;133
78;78238;78410;"Flins-sur-Seine";"2 375";861;276
78;78239;78520;"Follainville-Dennemont";"1 876";969;194
78;78242;78330;"Fontenay-le-Fleury";"12 828";543;"2 363"
78;78245;78200;"Fontenay-Mauvoisin";411;331;125
78;78246;78440;"Fontenay-Saint-Père";986;"1 306";76
78;78251;78112;"Fourqueux";"4 204";367;"1 146"
78;78255;78840;"Freneuse";"3 742";"1 032";363
78;78261;78250;"Gaillon-sur-Montcient";669;483;139
78;78262;78490;"Galluis";"1 114";453;246
78;78263;78950;"Gambais";"2 343";"2 302";102
78;78264;78490;"Gambaiseuil";63;"1 892";4
78;78265;78890;"Garancières";"2 331";"1 069";219
78;78267;78440;"Gargenville";"6 725";867;776
78;78269;78125;"Gazeran";"1 162";"2 580";46
78;78276;78270;"Gommecourt";636;567;113
78;78278;78770;"Goupillières";433;563;77
78;78281;78930;"Goussonville";590;466;127
78;78283;78113;"Grandchamp";295;605;49
78;78285;78550;"Gressey";527;711;75
78;78289;78490;"Grosrouvre";817;"1 243";66
78;78290;78520;"Guernes";902;854;106
78;78291;78930;"Guerville";"1 985";998;199
78;78296;78440;"Guitrancourt";622;732;85
78;78297;78280;"Guyancourt";"28 219";"1 300";"2 171"
78;78299;78250;"Hardricourt";"1 926";328;588
78;78300;78790;"Hargeville";370;708;53
78;78302;78113;"La Hauteville";177;486;37
78;78305;78580;"Herbeville";282;640;45
78;78307;78125;"Hermeray";919;"1 807";51
78;78310;78550;"Houdan";"3 105";"1 039";299
78;78311;78800;"Houilles";"30 835";443;"6 961"
78;78314;78440;"Issou";"4 468";480;931
78;78317;78440;"Jambville";754;481;157
78;78320;78270;"Jeufosse";429;357;121
78;78321;78760;"Jouars-Pontchartrain";"5 047";965;524
78;78322;78350;"Jouy-en-Josas";"8 055";"1 014";795
78;78324;78200;"Jouy-Mauvoisin";524;282;186
78;78325;78580;"Jumeauville";582;777;75
78;78327;78820;"Juziers";"3 652";988;370
78;78329;78440;"Lainville-en-Vexin";793;767;104
78;78334;78320;"Lévis-Saint-Nom";"1 729";825;210
78;78335;78520;"Limay";"15 779";"1 148";"1 375"
78;78337;78270;"Limetz-Villez";"1 894";935;203
78;78343;78350;"Les Loges-en-Josas";"1 453";248;586
78;78344;78270;"Lommoye";608;938;65
78;78346;78980;"Longnes";"1 430";"1 376";104
78;78349;78730;"Longvilliers";485;"1 391";35
78;78350;78430;"Louveciennes";"7 234";537;"1 348"
78;78354;78200;"Magnanville";"5 444";426;"1 278"
78;78356;78114;"Magny-les-Hameaux";"8 857";"1 664";533
78;78358;78600;"Maisons-Laffitte";"22 566";675;"3 344"
78;78361;78200;"Mantes-la-Jolie";"41 930";938;"4 471"
78;78362;78711;"Mantes-la-Ville";"18 506";606;"3 054"
